公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
美团点评,数据分析负责人,北京,消费生活,['数据分析'],5-10年,25k-35k,上市公司
贝壳,数据分析师,北京,房产家居,"['数据分析', 'SQL']",5-10年,20k-40k,D轮及以上
AKULAKU,中高级数据分析师,深圳,"移动互联网,金融",[],3-5年,15k-25k,D轮及以上
高登世德金融科技,数据分析（上海）,上海,"金融,数据服务",['数据分析'],1-3年,10k-17k,A轮
火花思维,数据分析师 (MJ000625),北京,"移动互联网,教育","['SQL', 'SPSS']",3-5年,15k-30k,C轮
滴滴,数据分析师,北京,汽车丨出行,"['SPSS', '数据分析', '可视化', '数据库']",3-5年,25k-45k,D轮及以上
深圳市保利物业管理集团有限公司,数据分析师,深圳,"电商,消费生活","['数据挖掘', '数据分析', '数据处理']",5-10年,15k-20k,不需要融资
云创世纪,数据分析师,深圳,"移动互联网,电商","['数据库', '数据分析']",1-3年,6k-10k,天使轮
捷晟信息,大数据分析师,贵阳,金融,[],不限,8k-16k,不需要融资
挖财,数据分析师实习生-上海 (MJ000770),上海,工具,"['SQLServer', 'MySQL']",1年以下,2k-3k,D轮及以上
Gridsum 国双,数据分析咨询师,西安,"数据服务,企业服务",['数据库'],不限,4k-6k,上市公司
京东数字科技,数据分析师-理财业务方向,北京,金融,"['Hive', 'MySQL', '数据分析']",3-5年,18k-28k,上市公司
东方海外信息技术开发中心,数据分析（2020届）,珠海,"移动互联网,企业服务",[],应届毕业生,9k-12k,不需要融资
Gshopper,高级数据分析工程师,深圳,"移动互联网,电商",['MySQL'],1-3年,10k-20k,C轮
同花顺,数据分析师（社招P6）,杭州,"金融,电商","['数据分析', '增长黑客', 'SQL']",应届毕业生,14k-28k,上市公司
洋钱罐,数据分析工程师,北京,"移动互联网,金融",['数据分析'],1-3年,15k-30k,不需要融资
贝壳,数据分析经理,北京,房产家居,"['数据挖掘', '数据分析', '数据处理']",5-10年,30k-50k,D轮及以上
派鲜,数据分析专员,深圳,消费生活,['SQL'],1-3年,8k-10k,B轮
新锦成,数据分析实习,北京,"移动互联网,教育",[],不限,2k-3k,A轮
水滴公司,商业数据分析师,北京,"移动互联网,医疗丨健康","['数据分析', '行业分析', '消费者分析', '市场竞争分析']",1-3年,10k-20k,C轮
拉勾网,商业数据分析,北京,企业服务,"['数据分析', '行业分析']",1-3年,6k-10k,D轮及以上
览众数据,业务与数据分析师,杭州,"电商,数据服务","['商业', 'BI', '可视化', '数据分析']",应届毕业生,9k-15k,B轮
车好多集团,数据分析高级专家-业务12413,北京,消费生活,[],5-10年,25k-50k,D轮及以上
爱农云联,农业数据分析师,武汉,"企业服务,物联网",['数据分析'],不限,4k-8k,天使轮
明略科技集团,数据分析产品经理,北京,"数据服务,广告营销",[],3-5年,25k-35k,D轮及以上
威斯科技,数据分析专家/总监,上海,移动互联网,['数据分析'],10年以上,40k-60k,未融资
佳格天地,数据分析实习生,北京,"移动互联网,数据服务","['数据分析', 'SPSS', 'SQL', '数据库']",应届毕业生,2k-4k,A轮
算话智能科技有限公司,数据分析师,上海,"数据服务,移动互联网","['SQL', '数据分析']",1-3年,12k-16k,B轮
宜步汽车,高级数据分析师,东莞,移动互联网,[],5-10年,10k-20k,A轮
宽睿,高级数据分析师,上海,"企业服务,金融","['数据挖掘', '数据分析', '数据架构']",3-5年,13k-20k,天使轮
58速运,数据分析经理,天津,"移动互联网,消费生活","['SQL', '数据分析']",1-3年,8k-10k,A轮
贝壳,数据分析师-业务运营方向,北京,房产家居,"['数据分析', '数据运营', 'SQL', '数据库']",5-10年,18k-35k,D轮及以上
成都卓杭,【校招】数据分析师,成都,"移动互联网,游戏","['数据分析', 'BI']",应届毕业生,9k-11k,不需要融资
算话智能科技有限公司,大数据分析师,上海,"数据服务,移动互联网",['数据分析'],1-3年,9k-18k,B轮
字节跳动,数据分析师,成都,文娱丨内容,[],不限,25k-50k,C轮
易享创异,数据分析师,北京,移动互联网,['数据分析'],1-3年,8k-15k,未融资
桐庐柚修图文化创意有限公司,数据分析,杭州,"电商,广告营销","['数据分析', 'SPSS']",5-10年,20k-35k,未融资
悠途,数据分析,成都,移动互联网,[],3-5年,5k-8k,未融资
中电健康云,数据分析实习生,成都,"医疗丨健康,信息安全","['Spark', 'Hadoop']",应届毕业生,3k-5k,不需要融资
卧客国际旅行社（北京）有限公司,数据分析师,北京,"旅游,消费生活","['BI', '数据分析']",5-10年,25k-35k,不需要融资
鑫炜网络,数据分析专家,上海,数据服务 软件开发,['数据分析'],5-10年,33k-43k,不需要融资
宝誉德,数据分析专家,北京,"移动互联网,企业服务","['数据挖掘', '数据分析', '数据处理']",5-10年,40k-80k,未融资
重庆道微投资,数据分析师实习生,重庆,金融,['策略设计'],不限,2k-3k,不需要融资
百姓网,产品数据分析实习生,上海,移动互联网,['SQL'],应届毕业生,2k-3k,上市公司
万选通,初级数据分析师,成都,"移动互联网,电商","['数据分析', '数据处理']",1-3年,6k-8k,未融资
新浪网,渠道数据分析师,北京,文娱丨内容,['数据分析'],1-3年,10k-20k,上市公司
贝壳,数据分析师-业务分析方向,北京,房产家居,"['数据架构', '数据挖掘', '数据分析']",5-10年,25k-35k,D轮及以上
算话智能科技有限公司,高级数据分析师,上海,"数据服务,移动互联网",['数据分析'],3-5年,15k-30k,B轮
字节跳动,数据分析专员（用户方向）,北京,文娱丨内容,['审核'],1-3年,8k-16k,C轮
车好多集团,数据分析师,北京,消费生活,"['商业', '可视化', '数据分析']",3-5年,15k-30k,D轮及以上
收钱吧,数据分析师（数据中心）,上海,移动互联网,"['数据分析', '数据处理', 'SQLServer']",1-3年,15k-25k,C轮
极光,数据分析师,深圳,企业服务,"['SPSS', '数据运营', '数据分析']",1-3年,10k-20k,上市公司
博悦科创,数据分析,深圳,移动互联网,"['BI', '数据分析', 'SQL']",1-3年,9k-15k,不需要融资
